haskell-case-insensitive 1.2.1.0-110
haskell-cereal 0.5.8.1-11
haskell-cmdargs 0.10.21-3
haskell-colour 2.3.6-25
haskell-commonmark 0.2.1-15
haskell-commonmark-extensions 0.2.1.2-22
haskell-commonmark-pandoc 0.2.1.1-19
haskell-comonad 5.0.8-105
haskell-conduit 1.3.4.2-1
haskell-conduit-extra 1.3.5-169
haskell-connection 0.3.1-144
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-24
haskell-data-default 0.7.1.1-170
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-183
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-9
haskell-digest 0.0.1.3-1
haskell-distributive 0.6.2.1-109
haskell-dlist 1.0-106
haskell-doclayout 0.3.0.2-32
haskell-doctemplates 0.10-16
haskell-emojis 0.1-118
haskell-erf 2.0.0.0-23
haskell-errors 2.3.0-62
haskell-file-embed 0.0.14.0-3
haskell-glob 0.10.1-99
haskell-haddock-library 1.10.0-53
haskell-hashable 1.3.3.0-9
haskell-hourglass 0.2.12-153
haskell-hslua 1.3.0.1-67
haskell-hslua-module-path 0.1.0.1-52
haskell-hslua-module-system 0.2.2.1-123
haskell-hslua-module-text 0.3.0.1-111
haskell-hsyaml 0.2.1.0-123
haskell-http 4000.3.16-74
haskell-http-client 0.7.9-5
haskell-http-client-tls 0.3.5.3-452
haskell-http-types 0.12.3-185
haskell-indexed-traversable 0.1.1-5
haskell-integer-logarithms 1.0.3.1-5
haskell-iproute 1.7.11-34
haskell-ipynb 0.1.0.1-240
haskell-jira-wiki-markup 1.4.0-20
haskell-juicypixels 3.3.5-109
haskell-memory 0.16.0-24
haskell-mime-types 0.1.0.9-13
haskell-mono-traversable 1.0.15.3-1
haskell-network 3.1.2.2-15
haskell-network-uri 2.6.4.1-42
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-pandoc-types 1.22-106
haskell-pem 0.2.4-187
haskell-primitive 0.7.2.0-16
haskell-quickcheck 2.14.2-217
haskell-random 1.2.1-6
haskell-resourcet 1.2.4.3-9
haskell-safe 0.3.19-7
haskell-scientific 0.3.7.0-20
haskell-sha 1.6.4.4-18
haskell-skylighting 0.11-27
haskell-skylighting-core 0.11-29
haskell-socks 0.6.1-132
haskell-split 0.2.3.4-152
haskell-splitmix 0.1.0.3-147
haskell-streaming-commons 0.2.2.1-101
haskell-strict 0.4.0.1-75
haskell-syb 0.7.2.1-77
haskell-tagged 0.8.6.1-4
haskell-tagsoup 0.14.8-133
haskell-temporary 1.3-301
haskell-texmath 0.12.3.1-12
haskell-text-conversions 0.3.1-89
haskell-text-icu 0.7.1.0-3
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-4
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.18-73
haskell-these 1.1.1.1-102
haskell-time-compat 1.9.6.1-4
haskell-tls 1.5.5-48
haskell-transformers-compat 0.7-1
haskell-typed-process 0.2.6.3-1
haskell-unicode-collation 0.1.3-21
haskell-unicode-data 0.1.0.1-2
haskell-unicode-transforms 0.3.8-11
haskell-uniplate 1.6.13-77
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.14.0-20
haskell-utf8-string 1.0.2-57
haskell-uuid-types 1.0.5-24
haskell-vector 0.12.3.1-2
haskell-vector-algorithms 0.8.0.4-72
haskell-x509 1.7.5-167
haskell-x509-store 1.6.7-166
haskell-x509-system 1.6.6-234
haskell-x509-validation 1.6.11-166
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-43
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-139
haskell-zlib 0.6.2.3-40
hdparm 9.62-1
hexyl 0.9.0-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
iana-etc 20210903-1
ibus 1.5.25-3
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.10-1
imath 3.1.3-1
imlib2 1.7.4-1
inetutils 2.2-1
iniparser 4.1-3
inkscape 1.1.1-2
iproute2 5.14.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipython 7.28.0-1
irssi 1.2.3-2
iso-codes 4.7.0-1
iw 5.9-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 17.u35-1
jq 1.6-4
jre-openjdk 17.u35-1
jre-openjdk-headless 17.u35-1
jre8-openjdk 8.u292-1
jre8-openjdk-headless 8.u292-1
js78 78.15.0-1
json-c 0.15-1
json-glib 1.6.6-1
jsoncpp 1.9.4-1
jupyter 4.6.3-3
jupyter-nbclient 0.5.4-1
jupyter-nbconvert 6.1.0-2
jupyter-nbformat 5.1.3-1
jupyter-notebook 6.4.4-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.4.0-1
jupyterlab_pygments 0.1.2-2
kbd 2.4.0-2
kcompletion 5.87.0-1
kconfig 5.87.0-1
kcoreaddons 5.87.0-1
kcrash 5.87.0-1
keyutils 1.6.3-1
kguiaddons 5.87.0-1
ki18n 5.87.0-1
kitemmodels 5.87.0-1
kitemviews 5.87.0-1
kitty 0.23.1-1
kitty-terminfo 0.23.1-1
klavaro 3.13-2
kmod 29-1
krb5 1.19.2-1
krita 4.4.8-2
kwidgetsaddons 5.87.0-1
kwindowsystem 5.87.0-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-3
lapack 3.10.0-1
lcms2 2.12-1
ldb 2:2.4.0-1
ldns 1.7.1-2
lensfun 0.3.95-4
less 1:590-1
lib2geom 1.1-1
libabw 0.1.3-2
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.2-1
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.9.3-1
libavtp 0.1.0-2
libblockdev 2.26-1
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libbytesize 2.6-1
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.59-1
libcap-ng 0.8.2-3
libcdaudio 0.99.12.p2-3
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-2
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libcurl-gnutls 7.79.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdrm 2.4.107-1
libdv 1.0.0-9
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-9
libedit 20210910_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.11.0-1
libevent 2.1.12-1
libexif 0.6.23-1
libexttextcat 3.4.5-2
libfdk-aac 2.0.2-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libfreehand 0.1.2-3
libgcrypt 1.9.4-1
libgee 0.20.4-1
libgexiv2 0.14.0-1
libglvnd 1.3.4-1
libgme 0.6.3-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgpg-error 1.42-1
